;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
154;RL;0.146029;17.97572886943817;46.455;1.634;9.091;9.812;0.652;2.468;17.0;0.288;2.0;50.0;2.431;11.0;77;100
155;OR-Tools;0.588;18.447772;46.455;1.677;10.091;8.165;0.808;2.508;22.0;0.254;4.0;50.0;3.356;14.0;77;100
156;RL;0.142962;19.693525433540344;43.636;1.79;9.091;10.689;0.662;3.448;20.0;0.594;3.0;50.0;2.535;14.0;78;100
157;OR-Tools;0.662082;19.2730225;48.0;1.927;11.0;3.333;0.67;1.491;39.0;0.566;9.0;50.0;2.695;13.0;78;100
158;RL;0.16497;15.966432809829712;47.5;1.597;10.0;2.506;0.514;2.261;42.0;0.712;7.0;50.0;2.344;13.0;79;100
159;OR-Tools;0.710063;16.629676999999997;47.5;1.663;11.0;6.884;0.665;2.16;28.0;0.607;6.0;50.0;2.93;14.0;79;100
160;RL;0.163019;14.15949696302414;45.636;1.287;9.091;9.179;0.385;2.427;20.0;0.679;3.0;50.0;1.965;13.0;80;100
161;OR-Tools;0.817046;14.527771300000001;45.636;1.321;10.091;7.672;0.38;1.868;26.0;0.735;7.0;50.0;1.993;13.0;80;100
162;RL;0.141963;19.40144571661949;44.25;1.617;8.333;11.81;0.604;2.839;8.0;0.471;1.0;50.0;2.496;12.0;81;100
163;OR-Tools;0.923621;18.689844500000003;48.273;1.699;10.091;2.24;0.499;1.973;43.0;0.821;7.0;50.0;2.326;13.0;81;100
164;RL;0.185998;17.012651845812798;43.182;1.547;9.091;12.813;0.703;3.177;8.0;0.173;2.0;50.0;2.473;14.0;82;100
165;OR-Tools;0.757753;17.5930562;47.5;1.759;11.0;3.536;0.585;2.357;40.0;0.961;7.0;50.0;2.731;14.0;82;100
166;RL;0.16896;14.718953907489777;43.455;1.338;9.091;12.62;0.518;3.33;6.0;0.37;1.0;50.0;1.949;13.0;83;100
167;OR-Tools;0.607079;14.3526959;47.8;1.435;11.0;3.425;0.53;2.16;41.0;0.746;8.0;50.0;2.103;13.0;83;100
168;RL;0.141965;14.061033010482788;43.909;1.278;9.091;12.988;0.487;2.982;5.0;0.076;1.0;50.0;2.02;12.0;84;100
169;OR-Tools;0.611035;14.751812300000001;48.3;1.475;11.0;4.084;0.462;2.211;37.0;0.835;9.0;50.0;2.504;15.0;84;100
170;RL;0.185131;14.97542142868042;48.5;1.498;10.0;1.841;0.453;2.055;44.0;0.938;8.0;50.0;2.069;15.0;85;100
171;OR-Tools;0.813429;16.0903313;48.5;1.609;11.0;3.064;0.559;1.826;40.0;0.651;9.0;50.0;2.648;15.0;85;100
172;RL;0.139001;15.778333008289337;45.273;1.434;9.091;9.971;0.423;2.844;16.0;0.568;2.0;50.0;1.917;13.0;86;100
173;OR-Tools;0.726969;15.418926599999999;45.273;1.402;10.091;7.016;0.492;2.119;28.0;0.772;6.0;50.0;2.346;14.0;86;100
174;RL;0.158953;18.14209544658661;45.636;1.649;9.091;9.584;0.667;2.844;20.0;0.726;3.0;50.0;2.764;13.0;87;100
175;OR-Tools;0.550658;19.1398735;45.636;1.74;10.091;9.298;0.665;2.737;18.0;0.242;3.0;50.0;2.701;13.0;87;100
176;RL;0.173983;16.603525042533875;46.3;1.66;10.0;9.334;0.61;3.127;20.0;0.662;4.0;50.0;2.619;14.0;88;100
177;OR-Tools;0.999019;16.9220119;46.3;1.692;11.0;6.977;0.626;2.667;28.0;0.644;7.0;50.0;2.535;15.0;88;100
178;RL;0.144962;17.275283098220825;48.7;1.728;10.0;1.567;0.468;1.886;46.0;1.196;8.0;50.0;2.467;13.0;89;100
179;OR-Tools;0.530006;17.9207342;48.7;1.792;11.0;2.263;0.529;2.108;43.0;0.992;8.0;50.0;2.708;15.0;89;100
180;RL;0.16996;18.38685131072998;44.909;1.672;9.091;11.768;0.731;3.048;10.0;0.108;2.0;50.0;2.648;13.0;90;100
181;OR-Tools;0.419004;18.5578796;49.4;1.856;11.0;1.265;0.665;1.333;46.0;0.683;9.0;50.0;2.802;14.0;90;100
182;RL;0.144959;17.762458741664886;45.455;1.615;9.091;8.347;0.547;2.663;21.0;0.366;3.0;50.0;2.165;12.0;91;100
183;OR-Tools;0.601357;18.0376498;45.455;1.64;10.091;10.367;0.595;2.773;15.0;0.536;3.0;50.0;2.324;13.0;91;100
184;RL;0.150963;19.172153055667877;47.6;1.917;10.0;4.835;0.592;2.211;34.0;0.739;6.0;50.0;2.792;13.0;92;100
185;OR-Tools;0.615037;19.663134099999997;47.6;1.966;11.0;5.125;0.708;2.539;34.0;0.975;8.0;50.0;3.101;16.0;92;100
186;RL;0.166965;15.868962652981281;43.667;1.322;8.333;13.707;0.559;2.964;2.0;0.074;1.0;50.0;2.066;12.0;93;100
187;OR-Tools;0.67952;15.521648599999999;47.636;1.411;10.091;2.58;0.442;1.758;42.0;0.618;8.0;50.0;2.042;13.0;93;100
188;RL;0.180017;18.57373470067978;42.818;1.689;9.091;14.979;0.656;3.59;4.0;0.594;1.0;50.0;2.624;13.0;94;100
189;OR-Tools;0.624631;19.003094700000002;47.1;1.9;11.0;6.488;0.679;1.7;29.0;0.903;7.0;50.0;2.971;13.0;94;100
190;RL;0.194;18.596717566251755;44.273;1.691;9.091;13.237;0.729;3.239;6.0;0.17;2.0;50.0;2.569;13.0;95;100
191;OR-Tools;0.791038;18.719642;48.7;1.872;11.0;2.497;0.532;1.826;42.0;0.912;8.0;50.0;2.838;15.0;95;100
192;RL;0.151996;14.219768285751343;46.9;1.422;10.0;4.932;0.349;1.764;35.0;0.908;8.0;50.0;1.85;13.0;96;100
193;OR-Tools;0.577086;15.0364707;46.9;1.504;11.0;6.42;0.472;2.261;29.0;0.751;8.0;50.0;2.078;16.0;96;100
194;RL;0.164977;15.784248232841492;48.455;1.435;9.091;1.809;0.503;1.758;45.0;0.562;7.0;50.0;2.089;13.0;97;100
195;OR-Tools;1.013939;18.090783499999997;48.455;1.645;10.091;3.857;0.678;1.868;37.0;0.557;7.0;50.0;2.787;13.0;97;100
196;RL;0.152996;16.967873111367226;41.167;1.414;8.333;13.183;0.717;3.055;8.0;0.207;1.0;50.0;2.246;12.0;98;100
197;OR-Tools;0.756664;16.979944099999997;49.4;1.698;11.0;0.699;0.5;1.414;48.0;1.094;9.0;50.0;2.354;13.0;98;100
198;RL;0.148237;16.25161921977997;46.909;1.477;9.091;8.608;0.362;2.3;21.0;0.714;4.0;50.0;2.027;12.0;99;100
199;OR-Tools;0.73118;16.7338688;46.909;1.521;10.091;8.677;0.393;2.587;21.0;0.87;5.0;50.0;2.073;15.0;99;100
0;RL;0.085002;10.81038248538971;35.857;1.544;7.143;6.203;0.471;1.864;23.0;0.689;4.0;40.0;1.991;10.0;0;50
1;OR-Tools;0.23361;10.9300517;35.857;1.561;8.143;5.242;0.637;2.116;25.0;0.62;5.0;40.0;2.701;12.0;0;50
2;RL;0.066645;11.00742781162262;34.375;1.376;6.25;10.914;0.584;2.252;8.0;0.184;1.0;40.0;2.097;8.0;1;50
3;OR-Tools;0.204123;12.1308592;39.286;1.733;8.143;1.496;0.506;1.215;36.0;0.903;6.0;40.0;2.456;9.0;1;50
4;RL;0.09899;12.214496582746506;33.143;1.745;7.143;10.976;0.749;2.911;9.0;0.256;1.0;40.0;2.617;9.0;2;50
5;OR-Tools;0.260002;12.1267353;38.667;2.021;9.333;2.16;0.721;1.633;35.0;1.232;7.0;40.0;3.33;12.0;2;50
6;RL;0.102993;12.881683260202408;34.429;1.84;7.143;12.15;0.766;3.024;7.0;0.419;1.0;40.0;2.682;10.0;3;50
7;OR-Tools;0.40666;13.597683;34.429;1.943;8.143;12.191;0.83;3.485;7.0;0.419;2.0;40.0;2.827;13.0;3;50
8;RL;0.096002;9.519137978553772;36.667;1.587;8.333;6.218;0.481;2.582;24.0;0.714;4.0;40.0;2.086;12.0;4;50
9;OR-Tools;0.227002;9.052435199999998;36.667;1.509;9.333;6.743;0.431;2.066;23.0;0.98;7.0;40.0;2.103;13.0;4;50
10;RL;0.09002;12.292929708957672;38.286;1.756;7.143;2.36;0.656;1.574;34.0;0.743;5.0;40.0;2.332;9.0;5;50
11;OR-Tools;0.204027;12.7479988;38.286;1.821;8.143;0.756;0.638;1.345;37.0;0.773;6.0;39.0;2.559;10.0;5;50
12;RL;0.108965;12.355603158473969;35.286;1.765;7.143;7.868;0.658;2.545;18.0;0.799;2.0;40.0;2.583;10.0;6;50
13;OR-Tools;0.22605;12.627321899999998;35.286;1.804;8.143;12.038;0.738;2.545;8.0;0.365;3.0;40.0;2.451;11.0;6;50
14;RL;0.079979;10.111331224441528;35.857;1.444;7.143;6.669;0.528;2.268;21.0;0.647;4.0;40.0;2.24;11.0;7;50
15;OR-Tools;0.216037;9.727157100000001;35.857;1.39;8.143;6.122;0.419;1.864;23.0;0.751;5.0;40.0;2.011;10.0;7;50
16;RL;0.092996;9.804995775222778;34.714;1.401;7.143;6.37;0.265;1.864;24.0;1.116;5.0;39.0;1.711;10.0;8;50
17;OR-Tools;0.189053;9.3635476;34.714;1.338;8.143;6.701;0.271;1.069;24.0;1.076;7.0;40.0;1.887;10.0;8;50
18;RL;0.08299;10.838551044464111;37.0;1.548;7.143;2.582;0.331;2.193;33.0;1.041;4.0;40.0;1.842;10.0;9;50
19;OR-Tools;0.285999;11.401129000000003;37.0;1.629;8.143;5.033;0.345;2.268;26.0;1.105;6.0;40.0;2.104;13.0;9;50
20;RL;0.075958;10.752607703208923;36.714;1.536;7.143;7.387;0.508;1.345;20.0;0.751;5.0;40.0;2.17;9.0;10;50
21;OR-Tools;0.210038;11.089761500000002;36.714;1.584;8.143;2.36;0.446;1.464;33.0;0.739;6.0;40.0;2.039;10.0;10;50
22;RL;0.066998;11.858392477035522;36.571;1.694;7.143;2.76;0.426;1.864;31.0;1.043;6.0;39.0;2.376;11.0;11;50
23;OR-Tools;0.205041;12.0630092;36.571;1.723;8.143;7.39;0.706;1.952;20.0;0.589;4.0;40.0;2.796;10.0;11;50
24;RL;0.087988;10.27988463640213;35.167;1.713;8.333;8.377;0.763;2.875;19.0;0.57;4.0;40.0;2.574;12.0;12;50
25;OR-Tools;0.228039;10.9588218;35.167;1.826;9.333;8.727;0.747;1.506;18.0;0.985;8.0;40.0;2.75;12.0;12;50
26;RL;0.075495;9.900655090808868;38.667;1.65;8.333;1.366;0.511;1.633;36.0;0.939;6.0;40.0;2.364;11.0;13;50
27;OR-Tools;0.258;10.5125859;38.667;1.752;9.333;1.366;0.508;1.506;36.0;0.981;7.0;40.0;2.551;11.0;13;50
28;RL;0.087995;13.15854525566101;36.143;1.88;7.143;8.915;0.651;2.61;16.0;0.529;2.0;40.0;2.602;10.0;14;50
29;OR-Tools;0.207036;13.401193899999999;36.143;1.914;8.143;4.525;0.648;1.464;27.0;1.042;6.0;40.0;2.866;9.0;14;50
30;RL;0.081997;8.988029479980469;34.714;1.284;7.143;3.302;0.404;2.193;31.0;0.839;4.0;39.0;1.932;10.0;15;50
31;OR-Tools;0.259035;8.8232133;34.714;1.26;8.143;11.8;0.744;3.185;8.0;0.039;2.0;40.0;2.282;12.0;15;50
32;RL;0.081999;10.784808665513992;34.714;1.541;7.143;11.87;0.753;3.078;8.0;0.249;1.0;40.0;2.547;11.0;16;50
33;OR-Tools;0.313536;11.4693619;34.714;1.638;8.143;10.996;0.744;2.61;10.0;0.346;3.0;40.0;2.661;11.0;16;50
34;RL;0.089997;11.2611945271492;38.143;1.609;7.143;3.185;0.529;1.574;31.0;0.999;5.0;40.0;2.347;9.0;17;50
35;OR-Tools;0.142035;11.339989000000003;38.143;1.62;8.143;2.41;0.607;1.464;35.0;0.722;6.0;40.0;2.375;10.0;17;50
36;RL;0.080963;12.267880737781525;33.714;1.753;7.143;13.175;0.739;3.185;4.0;0.223;1.0;40.0;2.436;11.0;18;50
37;OR-Tools;0.202001;12.698427599999999;39.333;2.116;9.333;0.816;0.534;2.251;38.0;1.352;6.0;40.0;2.865;13.0;18;50
38;RL;0.083993;10.150092840194702;37.857;1.45;7.143;4.413;0.183;1.464;28.0;1.129;5.0;40.0;1.736;9.0;19;50
39;OR-Tools;0.223;9.9866692;37.857;1.427;8.143;1.952;0.217;1.215;34.0;1.127;6.0;40.0;1.667;9.0;19;50
40;RL;0.087996;10.546906352043152;35.714;1.507;7.143;6.317;0.706;2.795;22.0;0.626;3.0;40.0;2.758;12.0;20;50
41;OR-Tools;0.20805;10.950097;35.714;1.564;8.143;4.572;0.704;2.734;28.0;0.659;5.0;40.0;2.511;12.0;20;50
42;RL;0.08;11.267120838165283;36.333;1.878;8.333;6.218;0.599;2.944;24.0;1.07;4.0;40.0;2.497;13.0;21;50
43;OR-Tools;0.169033;12.468913200000001;36.333;2.078;9.333;8.017;0.493;2.422;20.0;1.281;5.0;40.0;2.612;12.0;21;50
44;RL;0.082033;10.220133125782013;35.143;1.46;7.143;9.082;0.555;2.795;15.0;0.454;2.0;40.0;2.122;11.0;22;50
45;OR-Tools;0.211041;10.2079457;35.143;1.458;8.143;6.866;0.545;2.268;20.0;0.49;4.0;40.0;2.051;11.0;22;50
46;RL;0.075964;12.065332531929016;38.5;2.011;8.333;3.674;0.478;2.066;31.0;1.238;6.0;40.0;2.721;12.0;23;50
47;OR-Tools;0.220036;12.4891557;38.5;2.082;9.333;1.643;0.661;1.633;36.0;1.091;7.0;40.0;2.856;12.0;23;50
48;RL;0.072963;12.777726233005524;33.875;1.597;6.25;10.106;0.611;1.581;10.0;0.672;3.0;40.0;2.274;8.0;24;50
49;OR-Tools;0.187004;12.5948799;38.714;1.799;8.143;1.113;0.571;1.069;37.0;0.995;7.0;40.0;2.591;10.0;24;50
50;RL;0.078997;13.216472208499908;33.75;1.652;6.25;9.75;0.835;2.605;17.0;0.554;2.0;40.0;3.029;10.0;25;50
51;OR-Tools;0.162999;12.809295;38.571;1.83;8.143;2.149;0.737;2.193;35.0;0.878;6.0;40.0;2.924;12.0;25;50
52;RL;0.069964;9.43043726682663;36.714;1.347;7.143;3.402;0.412;1.574;30.0;0.834;5.0;40.0;1.769;10.0;26;50
53;OR-Tools;0.19404;9.408021199999999;36.714;1.344;8.143;5.314;0.387;2.193;25.0;0.787;5.0;40.0;1.723;12.0;26;50
54;RL;0.074007;9.180240035057068;35.429;1.311;7.143;8.284;0.581;2.795;17.0;0.228;2.0;40.0;2.008;11.0;27;50
55;OR-Tools;0.215039;9.6070399;35.429;1.372;8.143;6.925;0.673;2.854;21.0;0.473;5.0;40.0;2.237;12.0;27;50
56;RL;0.082966;9.97633171081543;36.429;1.425;7.143;6.604;0.661;2.545;22.0;0.45;3.0;40.0;2.64;11.0;28;50
57;OR-Tools;0.224553;10.7009876;36.429;1.529;8.143;6.451;0.733;2.61;22.0;0.45;4.0;40.0;2.686;12.0;28;50
58;RL;0.074033;10.091912358999252;35.714;1.442;7.143;6.651;0.595;1.574;22.0;0.39;4.0;40.0;2.183;9.0;29;50
59;OR-Tools;0.242012;9.8803154;35.714;1.411;8.143;7.994;0.58;2.035;18.0;0.348;4.0;40.0;2.137;10.0;29;50
60;RL;0.065963;9.22877585887909;37.0;1.538;8.333;4.69;0.31;2.066;28.0;1.082;6.0;40.0;2.009;12.0;30;50
61;OR-Tools;0.19852;9.4506894;37.0;1.575;9.333;3.464;0.264;2.16;33.0;1.213;7.0;40.0;1.951;12.0;30;50
62;RL;0.076004;9.506273537874222;34.286;1.358;7.143;10.547;0.512;2.795;11.0;0.457;2.0;40.0;2.046;11.0;31;50
63;OR-Tools;0.219167;9.832824200000001;40.0;1.639;9.333;0.0;0.692;1.366;40.0;0.707;8.0;40.0;2.593;12.0;31;50
64;RL;0.069962;11.51828184723854;36.0;1.645;7.143;8.832;0.809;2.035;16.0;0.361;4.0;40.0;2.366;10.0;32;50
65;OR-Tools;0.250033;11.6878881;36.0;1.67;8.143;8.062;0.713;2.41;18.0;0.439;3.0;40.0;2.543;10.0;32;50
66;RL;0.078972;12.233073472976685;32.143;1.748;7.143;10.431;0.878;3.579;16.0;0.352;2.0;40.0;2.756;11.0;33;50
67;OR-Tools;0.193547;11.8922286;37.5;1.982;9.333;3.728;0.51;1.966;30.0;1.239;6.0;40.0;2.724;11.0;33;50
68;RL;0.084078;9.751446574926376;35.0;1.393;7.143;11.075;0.479;2.545;10.0;0.478;2.0;40.0;1.903;9.0;34;50
69;OR-Tools;0.204308;10.473722300000002;35.0;1.496;8.143;8.622;0.479;2.268;16.0;0.624;5.0;40.0;2.145;12.0;34;50
70;RL;0.07701;10.122951567173004;36.429;1.446;7.143;5.563;0.543;2.545;24.0;0.764;4.0;40.0;2.259;11.0;35;50
71;OR-Tools;0.262037;10.208328799999999;36.429;1.458;8.143;4.756;0.483;1.864;27.0;0.889;6.0;40.0;1.918;11.0;35;50
72;RL;0.08896;11.63990068435669;37.833;1.94;8.333;3.371;0.572;2.251;33.0;1.16;6.0;40.0;2.728;12.0;36;50
73;OR-Tools;0.175034;12.3321789;37.833;2.055;9.333;5.307;0.698;2.503;27.0;1.055;6.0;40.0;2.809;12.0;36;50
74;RL;0.072999;11.013972878456116;36.429;1.573;7.143;3.457;0.572;2.193;31.0;0.814;4.0;39.0;2.286;10.0;37;50
75;OR-Tools;0.15808;10.9066335;36.429;1.558;8.143;5.711;0.74;2.193;24.0;0.315;4.0;40.0;2.311;11.0;37;50
76;RL;0.078998;10.421993374824524;32.75;1.303;6.25;10.389;0.568;2.659;12.0;0.359;2.0;40.0;1.947;9.0;38;50
77;OR-Tools;0.221041;10.138388199999998;37.429;1.448;8.143;1.813;0.299;2.193;35.0;0.903;6.0;40.0;1.772;11.0;38;50
78;RL;0.078963;9.269363343715668;34.429;1.324;7.143;6.63;0.521;2.193;23.0;0.499;4.0;40.0;2.03;10.0;39;50
79;OR-Tools;0.18698;9.4970278;34.429;1.357;8.143;12.177;0.733;3.024;7.0;0.177;2.0;40.0;2.385;11.0;39;50
80;RL;0.074963;10.973093271255493;37.333;1.829;8.333;2.875;0.336;1.633;33.0;1.279;6.0;40.0;2.287;11.0;40;50
81;OR-Tools;0.207076;11.1142205;37.333;1.852;9.333;3.933;0.38;1.033;30.0;1.224;8.0;40.0;2.324;10.0;40;50
82;RL;0.092985;10.660995602607727;34.714;1.523;7.143;11.398;0.696;2.911;9.0;0.477;1.0;40.0;2.386;10.0;41;50
83;OR-Tools;0.213052;10.461849999999998;34.714;1.495;8.143;6.075;0.57;1.952;25.0;0.885;6.0;40.0;2.269;11.0;41;50
84;RL;0.081;12.468464016914368;37.286;1.781;7.143;6.751;0.652;1.864;22.0;0.862;4.0;40.0;2.516;9.0;42;50
85;OR-Tools;0.218034;13.575091;37.286;1.939;8.143;5.187;0.788;2.61;26.0;0.809;4.0;40.0;2.915;12.0;42;50
86;RL;0.084959;8.60620166361332;33.571;1.229;7.143;11.148;0.694;3.185;9.0;0.095;1.0;40.0;2.33;10.0;43;50
87;OR-Tools;0.153003;10.3171531;39.167;1.72;9.333;2.041;0.628;1.033;35.0;0.817;8.0;40.0;2.427;11.0;43;50
88;RL;0.075;13.879847645759583;36.0;1.735;6.25;4.504;0.459;0.707;28.0;1.105;5.0;40.0;2.175;7.0;44;50
89;OR-Tools;0.16509;14.007288899999999;36.0;1.751;7.25;7.231;0.528;1.282;22.0;0.867;5.0;40.0;2.388;9.0;44;50
90;RL;0.064544;11.08184814453125;38.143;1.583;7.143;2.34;0.464;0.9;34.0;1.046;6.0;40.0;2.035;8.0;45;50
91;OR-Tools;0.209192;11.5990088;38.143;1.657;8.143;2.268;0.478;1.069;34.0;1.002;7.0;40.0;2.22;10.0;45;50
92;RL;0.073036;13.038561701774597;36.429;1.863;7.143;6.294;0.779;1.864;23.0;0.754;4.0;40.0;2.813;10.0;46;50
93;OR-Tools;0.244038;13.456892;36.429;1.922;8.143;4.577;0.84;2.035;28.0;0.764;5.0;40.0;3.238;11.0;46;50
94;RL;0.068985;9.612611591815948;38.429;1.373;7.143;1.397;0.519;1.069;36.0;0.599;6.0;40.0;1.943;9.0;47;50
95;OR-Tools;0.194003;9.7045259;38.429;1.386;8.143;2.299;0.697;1.345;34.0;0.594;6.0;40.0;2.567;10.0;47;50
96;RL;0.077592;12.176036834716797;36.286;1.739;7.143;7.319;0.601;2.193;20.0;1.144;4.0;40.0;2.561;10.0;48;50
97;OR-Tools;0.162034;12.6064437;36.286;1.801;8.143;5.529;0.637;2.41;25.0;1.071;4.0;40.0;2.764;11.0;48;50
98;RL;0.073962;10.045590221881866;34.286;1.435;7.143;12.932;0.594;3.338;5.0;0.268;1.0;40.0;2.181;11.0;49;50
99;OR-Tools;0.159;11.3350431;40.0;1.889;9.333;0.0;0.408;1.211;40.0;1.335;8.0;40.0;2.532;11.0;49;50
100;RL;0.064963;10.611440390348434;32.571;1.516;7.143;13.489;0.777;3.716;3.0;0.386;1.0;40.0;2.555;13.0;50;50
101;OR-Tools;0.229025;10.441232600000001;38.0;1.74;9.333;1.414;0.728;1.862;36.0;1.001;7.0;40.0;2.958;12.0;50;50
102;RL;0.088;8.692506909370422;36.833;1.449;8.333;4.579;0.335;2.16;28.0;0.877;5.0;40.0;1.828;11.0;51;50
103;OR-Tools;0.190037;8.762639700000001;36.833;1.46;9.333;2.317;0.278;1.366;33.0;1.09;7.0;39.0;1.866;11.0;51;50
104;RL;0.071981;11.194962978363037;37.571;1.599;7.143;4.392;0.627;1.676;28.0;0.775;4.0;40.0;2.522;9.0;52;50
105;OR-Tools;0.215036;11.150603499999999;37.571;1.593;8.143;3.409;0.616;1.773;31.0;0.698;6.0;40.0;2.678;11.0;52;50
106;RL;0.072961;9.8757264316082;32.25;1.234;6.25;11.386;0.599;3.284;6.0;0.313;1.0;40.0;2.18;12.0;53;50
107;OR-Tools;0.252109;9.677284599999998;36.857;1.382;8.143;2.911;0.501;1.952;32.0;0.913;6.0;40.0;2.308;12.0;53;50
108;RL;0.072968;10.701417326927185;37.714;1.529;7.143;3.592;0.73;1.773;30.0;0.519;4.0;40.0;2.522;9.0;54;50
109;OR-Tools;0.171004;11.445154299999999;37.714;1.635;8.143;3.988;0.769;1.345;29.0;0.519;6.0;40.0;2.545;10.0;54;50
110;RL;0.076559;10.975071549415588;36.571;1.568;7.143;4.276;0.434;1.574;29.0;0.89;5.0;40.0;1.985;10.0;55;50
