;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
36;RL;0.017953;4.508209228515625;18.5;2.254;5.0;2.121;0.878;1.414;17.0;1.633;4.0;20.0;2.875;6.0;18;10
37;OR-Tools;0.018036;4.5082085;18.5;2.254;6.0;2.121;0.878;1.414;17.0;1.633;5.0;20.0;2.875;7.0;18;10
38;RL;0.023967;4.6643189787864685;15.25;1.166;2.5;5.852;0.516;0.577;8.0;0.551;2.0;20.0;1.806;3.0;19;10
39;OR-Tools;0.020042;4.6643184;15.25;1.166;3.5;5.852;0.516;0.577;8.0;0.551;3.0;20.0;1.806;4.0;19;10
40;RL;0.018958;3.6772372722625732;18.667;1.226;3.333;0.577;0.376;0.577;18.0;0.9;3.0;19.0;1.637;4.0;20;10
41;OR-Tools;0.021001;3.7192841;18.667;1.24;4.333;1.528;0.335;0.577;17.0;0.965;4.0;20.0;1.613;5.0;20;10
42;RL;0.017004;4.074646830558777;15.0;1.358;3.333;1.732;0.619;0.577;13.0;0.71;3.0;16.0;1.942;4.0;21;10
43;OR-Tools;0.015996;3.9771589;15.0;1.326;4.333;4.359;0.935;1.528;12.0;0.71;3.0;20.0;2.401;6.0;21;10
44;RL;0.019962;3.9198665618896484;19.0;1.96;5.0;1.414;0.269;1.414;18.0;1.77;4.0;20.0;2.15;6.0;22;10
45;OR-Tools;0.022037;4.0187928;19.0;2.009;6.0;1.414;0.754;1.414;18.0;1.477;5.0;20.0;2.542;7.0;22;10
46;RL;0.023922;4.658293724060059;20.0;2.329;5.0;0.0;0.067;1.414;20.0;2.282;4.0;20.0;2.377;6.0;23;10
47;OR-Tools;0.013;5.0720797;20.0;2.536;6.0;0.0;0.635;1.414;20.0;2.087;5.0;20.0;2.985;7.0;23;10
48;RL;0.019994;5.368553996086121;16.667;1.79;3.333;2.309;0.363;1.155;14.0;1.559;2.0;18.0;2.208;4.0;24;10
49;OR-Tools;0.015004;5.3621243;16.667;1.787;4.333;2.309;0.365;1.155;14.0;1.553;3.0;18.0;2.208;5.0;24;10
50;RL;0.023006;3.69279682636261;17.0;1.231;3.333;3.0;0.663;1.155;14.0;0.503;2.0;20.0;1.798;4.0;25;10
51;OR-Tools;0.018001;3.7053572;17.0;1.235;4.333;2.646;0.596;0.577;15.0;0.546;4.0;20.0;1.582;5.0;25;10
52;RL;0.02396;5.467085242271423;19.333;1.822;3.333;1.155;0.794;0.577;18.0;0.917;3.0;20.0;2.402;4.0;26;10
53;OR-Tools;0.027001;5.443234100000001;19.333;1.814;4.333;1.155;0.785;0.577;18.0;0.917;4.0;20.0;2.378;5.0;26;10
54;RL;0.021964;4.484841346740723;17.0;1.495;3.333;2.0;0.561;1.155;15.0;1.152;2.0;19.0;2.142;4.0;27;10
55;OR-Tools;0.017001;4.4836371999999995;17.0;1.495;4.333;4.359;0.444;1.155;12.0;0.999;3.0;20.0;1.855;5.0;27;10
56;RL;0.021998;4.364219903945923;15.333;1.455;3.333;3.512;0.345;1.528;12.0;1.121;2.0;19.0;1.81;5.0;28;10
57;OR-Tools;0.016997;4.2080257;15.333;1.403;4.333;6.351;0.585;2.082;8.0;0.733;2.0;19.0;1.81;6.0;28;10
58;RL;0.017003;4.2456919848918915;14.333;1.415;3.333;9.815;1.154;2.082;3.0;0.147;1.0;20.0;2.404;5.0;29;10
59;OR-Tools;0.022001;4.2064936;14.333;1.402;4.333;9.815;1.069;2.082;3.0;0.276;2.0;20.0;2.404;6.0;29;10
60;RL;0.016999;4.678063273429871;16.0;1.559;3.333;2.646;0.259;0.577;13.0;1.312;3.0;18.0;1.828;4.0;30;10
61;OR-Tools;0.023;4.6780624;16.0;1.559;4.333;2.646;0.259;0.577;13.0;1.312;4.0;18.0;1.828;5.0;30;10
62;RL;0.018001;4.875827848911285;15.75;1.219;2.5;2.63;0.33;0.577;13.0;0.947;2.0;18.0;1.683;3.0;31;10
63;OR-Tools;0.014967;4.8697359;15.75;1.217;3.5;2.63;0.327;0.577;13.0;0.947;3.0;18.0;1.677;4.0;31;10
64;RL;0.026996;3.6490061283111572;15.0;1.216;3.333;6.083;0.502;1.155;8.0;0.637;2.0;19.0;1.51;4.0;32;10
65;OR-Tools;0.027997;3.6490053999999996;15.0;1.216;4.333;6.083;0.502;1.155;8.0;0.637;3.0;19.0;1.51;5.0;32;10
66;RL;0.030997;5.413359761238098;16.0;1.804;3.333;4.0;0.613;1.155;12.0;1.184;2.0;20.0;2.41;4.0;33;10
67;OR-Tools;0.028003;5.5963951000000005;16.0;1.865;4.333;1.732;0.418;0.577;15.0;1.383;4.0;18.0;2.129;5.0;33;10
68;RL;0.023996;5.46177065372467;15.25;1.365;2.5;5.188;0.949;1.291;9.0;0.453;1.0;20.0;2.304;4.0;34;10
69;OR-Tools;0.021004;5.4617703;15.25;1.365;3.5;5.188;0.949;1.291;9.0;0.453;2.0;20.0;2.304;5.0;34;10
70;RL;0.027967;4.953359246253967;15.333;1.651;3.333;3.786;1.097;1.155;11.0;0.388;2.0;18.0;2.37;4.0;35;10
71;OR-Tools;0.025998;5.043997599999999;15.333;1.681;4.333;7.234;1.257;2.517;7.0;0.277;2.0;20.0;2.703;7.0;35;10
72;RL;0.026999;3.4772416949272156;13.333;1.159;3.333;5.508;0.956;2.517;7.0;0.311;1.0;17.0;2.195;6.0;36;10
73;OR-Tools;0.025999;4.1328271;20.0;2.066;6.0;0.0;0.429;0.0;20.0;1.763;6.0;20.0;2.37;6.0;36;10
74;RL;0.027992;4.617756813764572;14.75;1.154;2.5;4.272;0.616;1.291;9.0;0.322;1.0;18.0;1.782;4.0;37;10
75;OR-Tools;0.034008;4.5833314;14.75;1.146;3.5;4.5;0.748;1.291;9.0;0.322;2.0;20.0;1.919;5.0;37;10
76;RL;0.024002;4.318521976470947;20.0;2.159;5.0;0.0;0.11;1.414;20.0;2.082;4.0;20.0;2.237;6.0;38;10
77;OR-Tools;0.025007;4.3194768;20.0;2.16;6.0;0.0;0.509;0.0;20.0;1.8;6.0;20.0;2.52;6.0;38;10
78;RL;0.031004;5.989935517311096;19.0;1.997;3.333;1.0;0.466;0.577;18.0;1.619;3.0;20.0;2.517;4.0;39;10
79;OR-Tools;0.027008;6.078967499999999;19.0;2.026;4.333;1.732;0.381;0.577;17.0;1.806;4.0;20.0;2.467;5.0;39;10
80;RL;0.029006;4.0218634605407715;14.333;1.341;3.333;3.786;0.742;1.528;10.0;0.759;2.0;17.0;2.177;5.0;40;10
81;OR-Tools;0.025;4.158674100000001;14.333;1.386;4.333;6.028;0.711;2.082;8.0;0.588;2.0;20.0;1.951;6.0;40;10
82;RL;0.025001;3.872944712638855;18.5;1.936;5.0;0.707;0.005;1.414;18.0;1.933;4.0;19.0;1.94;6.0;41;10
83;OR-Tools;0.028999;3.8524161;18.5;1.926;6.0;0.707;0.01;1.414;18.0;1.919;5.0;19.0;1.933;7.0;41;10
84;RL;0.019003;6.634524941444397;16.25;1.659;2.5;2.872;0.564;1.0;12.0;1.17;2.0;18.0;2.383;4.0;42;10
85;OR-Tools;0.02;6.0111984000000005;16.25;1.503;3.5;4.992;0.498;1.291;9.0;0.932;2.0;20.0;2.148;5.0;42;10
86;RL;0.028001;3.5379635393619537;15.0;1.179;3.333;6.245;0.627;2.082;8.0;0.459;1.0;20.0;1.61;5.0;43;10
87;OR-Tools;0.019998;3.7484336;15.0;1.249;4.333;6.245;0.915;2.082;8.0;0.459;2.0;20.0;2.251;6.0;43;10
88;RL;0.021001;5.7060383558273315;17.0;1.427;2.5;2.944;0.629;1.0;13.0;0.78;2.0;20.0;2.288;4.0;44;10
89;OR-Tools;0.022995;5.7060376999999995;17.0;1.427;3.5;2.944;0.629;1.0;13.0;0.78;3.0;20.0;2.288;5.0;44;10
90;RL;0.023998;6.347970962524414;18.0;2.116;3.333;2.646;0.562;0.577;15.0;1.616;3.0;20.0;2.724;4.0;45;10
91;OR-Tools;0.019994;6.1890546;18.0;2.063;4.333;2.646;0.477;0.577;15.0;1.616;4.0;20.0;2.565;5.0;45;10
92;RL;0.032002;4.327391266822815;13.667;1.442;3.333;5.033;0.513;1.155;9.0;0.87;2.0;19.0;1.86;4.0;46;10
93;OR-Tools;0.026998;4.6317116;13.667;1.544;4.333;5.686;0.586;1.155;9.0;0.87;3.0;20.0;1.929;5.0;46;10
94;RL;0.020001;4.26253217458725;15.5;1.066;2.5;5.447;0.691;1.0;8.0;0.359;1.0;20.0;2.012;3.0;47;10
95;OR-Tools;0.029004;4.091057;15.5;1.023;3.5;6.455;0.375;0.577;6.0;0.669;3.0;20.0;1.547;4.0;47;10
96;RL;0.026968;5.409345865249634;15.75;1.352;2.5;4.717;0.452;1.0;9.0;0.935;1.0;19.0;1.902;3.0;48;10
97;OR-Tools;0.025031;5.3865721;15.75;1.347;3.5;4.272;0.243;0.577;10.0;1.033;3.0;19.0;1.54;4.0;48;10
98;RL;0.022004;4.193932324647903;13.0;1.398;3.333;7.81;1.041;2.082;4.0;0.236;1.0;18.0;2.248;5.0;49;10
99;OR-Tools;0.022003;4.5511903;19.5;2.276;6.0;0.707;0.611;1.414;19.0;1.844;5.0;20.0;2.708;7.0;49;10
100;RL;0.022035;4.266510009765625;18.0;1.422;3.333;2.646;0.501;1.155;15.0;0.901;2.0;20.0;1.901;4.0;50;10
101;OR-Tools;0.018002;4.2665094;18.0;1.422;4.333;2.646;0.501;1.155;15.0;0.901;3.0;20.0;1.901;5.0;50;10
102;RL;0.021002;3.1241856515407562;15.333;1.041;3.333;5.686;0.817;2.517;9.0;0.153;1.0;20.0;1.761;6.0;51;10
103;OR-Tools;0.026003;3.1241851;15.333;1.041;4.333;5.686;0.817;2.517;9.0;0.153;2.0;20.0;1.761;7.0;51;10
104;RL;0.024998;6.6540175676345825;17.333;2.218;3.333;1.528;0.566;0.577;16.0;1.595;3.0;19.0;2.7;4.0;52;10
105;OR-Tools;0.029002;6.544420200000001;17.333;2.181;4.333;1.155;0.313;0.577;16.0;1.882;4.0;18.0;2.506;5.0;52;10
106;RL;0.020964;4.892757773399353;17.333;1.631;3.333;2.082;0.35;0.577;15.0;1.29;3.0;19.0;1.99;4.0;53;10
107;OR-Tools;0.031006;4.8927572;17.333;1.631;4.333;2.082;0.35;0.577;15.0;1.29;4.0;19.0;1.99;5.0;53;10
108;RL;0.019962;5.3065624833106995;14.5;1.327;2.5;5.066;0.804;1.291;8.0;0.603;1.0;19.0;2.46;4.0;54;10
109;OR-Tools;0.028;5.3065619;14.5;1.327;3.5;5.066;0.804;1.291;8.0;0.603;2.0;19.0;2.46;5.0;54;10
110;RL;0.019965;4.9181517362594604;18.333;1.639;3.333;1.528;0.739;0.577;17.0;1.058;3.0;20.0;2.471;4.0;55;10
111;OR-Tools;0.014;4.918151;18.333;1.639;4.333;1.528;0.739;0.577;17.0;1.058;4.0;20.0;2.471;5.0;55;10
112;RL;0.019;4.2605398297309875;14.0;1.42;3.333;7.81;0.888;2.517;5.0;0.45;1.0;19.0;2.194;6.0;56;10
113;OR-Tools;0.028999;4.2573308;14.0;1.419;4.333;7.81;0.888;2.517;5.0;0.45;2.0;19.0;2.194;7.0;56;10
114;RL;0.019997;4.1763694286346436;16.5;2.088;5.0;2.121;1.229;2.828;15.0;1.219;3.0;18.0;2.957;7.0;57;10
115;OR-Tools;0.02;4.3869705;16.5;2.193;6.0;2.121;0.977;1.414;15.0;1.502;5.0;18.0;2.885;7.0;57;10
116;RL;0.023;4.661835014820099;13.75;1.165;2.5;6.5;0.706;1.291;5.0;0.433;1.0;20.0;2.113;4.0;58;10
117;OR-Tools;0.023;4.5461105;18.333;1.515;4.333;1.155;0.912;0.577;17.0;0.909;4.0;19.0;2.565;5.0;58;10
118;RL;0.018996;5.594668507575989;15.667;1.865;3.333;4.041;0.651;0.577;12.0;1.162;3.0;20.0;2.446;4.0;59;10
119;OR-Tools;0.029998;5.5946678;15.667;1.865;4.333;4.041;0.651;0.577;12.0;1.162;4.0;20.0;2.446;5.0;59;10
120;RL;0.024966;4.801299333572388;19.333;1.6;3.333;0.577;0.438;0.577;19.0;1.221;3.0;20.0;2.079;4.0;60;10
121;OR-Tools;0.027994;4.8012986;19.333;1.6;4.333;0.577;0.438;0.577;19.0;1.221;4.0;20.0;2.079;5.0;60;10
122;RL;0.023008;4.448680520057678;15.667;1.483;3.333;4.163;0.16;0.577;11.0;1.298;3.0;19.0;1.587;4.0;61;10
123;OR-Tools;0.023998;4.3793714;15.667;1.46;4.333;5.774;0.455;1.155;9.0;0.962;3.0;19.0;1.854;5.0;61;10
124;RL;0.026998;4.399877667427063;18.667;1.467;3.333;1.155;0.379;1.155;18.0;1.18;2.0;20.0;1.897;4.0;62;10
125;OR-Tools;0.020997;4.3719187;18.667;1.457;4.333;1.155;0.385;1.155;18.0;1.18;3.0;20.0;1.897;5.0;62;10
126;RL;0.020005;4.971067860722542;16.5;1.243;2.5;5.686;0.825;1.0;8.0;0.245;1.0;20.0;2.148;3.0;63;10
127;OR-Tools;0.026999;4.9394431999999995;16.5;1.235;3.5;5.686;0.828;1.0;8.0;0.245;2.0;20.0;2.148;4.0;63;10
128;RL;0.020005;3.5449652820825577;15.0;1.182;3.333;5.292;0.93;2.082;9.0;0.128;1.0;19.0;1.89;5.0;64;10
129;OR-Tools;0.016002;3.4833765;15.0;1.161;4.333;5.568;0.909;2.082;9.0;0.128;2.0;20.0;1.839;6.0;64;10
130;RL;0.02396;4.9665016531944275;14.0;1.656;3.333;7.81;0.996;2.517;5.0;0.51;1.0;19.0;2.32;6.0;65;10
131;OR-Tools;0.026;4.926212100000001;14.0;1.642;4.333;6.245;0.793;1.528;7.0;0.728;3.0;19.0;2.137;6.0;65;10
132;RL;0.027999;4.6118656396865845;15.25;1.153;2.5;4.272;0.735;1.291;9.0;0.409;1.0;18.0;1.847;4.0;66;10
133;OR-Tools;0.023995;4.6227058;15.25;1.156;3.5;4.349;0.755;1.291;9.0;0.409;2.0;19.0;1.996;5.0;66;10
134;RL;0.018013;4.718457102775574;14.333;1.573;3.333;5.033;0.657;1.528;9.0;0.847;2.0;19.0;2.128;5.0;67;10
135;OR-Tools;0.02;4.7184566;14.333;1.573;4.333;5.033;0.657;1.528;9.0;0.847;3.0;19.0;2.128;6.0;67;10
136;RL;0.020999;3.825971841812134;19.0;1.913;5.0;1.414;0.248;1.414;18.0;1.738;4.0;20.0;2.088;6.0;68;10
137;OR-Tools;0.022002;3.7819936;19.0;1.891;6.0;1.414;0.313;0.0;18.0;1.67;6.0;20.0;2.112;6.0;68;10
138;RL;0.018001;4.390186667442322;19.333;1.463;3.333;0.577;0.305;0.577;19.0;1.14;3.0;20.0;1.746;4.0;69;10
139;OR-Tools;0.027033;4.5165383;19.333;1.506;4.333;0.577;0.475;0.577;19.0;0.958;4.0;20.0;1.812;5.0;69;10
140;RL;0.021003;4.808182716369629;15.667;1.603;3.333;2.309;0.516;1.155;13.0;1.037;2.0;17.0;2.049;4.0;70;10
141;OR-Tools;0.017999;4.808182199999999;15.667;1.603;4.333;2.309;0.516;1.155;13.0;1.037;3.0;17.0;2.049;5.0;70;10
142;RL;0.023001;5.957072854042053;15.25;1.489;2.5;5.123;0.689;1.0;8.0;0.745;1.0;20.0;2.235;3.0;71;10
143;OR-Tools;0.023036;5.7187852999999995;15.25;1.43;3.5;6.292;0.994;1.0;6.0;0.041;2.0;20.0;2.384;4.0;71;10
144;RL;0.018003;5.30213862657547;16.333;1.767;3.333;6.351;0.922;2.082;9.0;0.724;1.0;20.0;2.476;5.0;72;10
145;OR-Tools;0.018003;5.3191308;16.333;1.773;4.333;3.786;0.911;1.528;12.0;0.726;3.0;19.0;2.388;6.0;72;10
146;RL;0.01799;4.183606863021851;17.0;1.395;3.333;4.359;0.446;0.577;12.0;0.913;3.0;20.0;1.795;4.0;73;10
147;OR-Tools;0.020995;4.156728599999999;17.0;1.386;4.333;1.0;0.158;0.577;16.0;1.259;4.0;18.0;1.563;5.0;73;10
148;RL;0.018003;5.54403418302536;13.667;1.848;3.333;5.508;0.743;2.082;8.0;0.999;1.0;19.0;2.383;5.0;74;10
149;OR-Tools;0.020962;4.856245100000001;13.667;1.619;4.333;10.97;1.187;2.082;1.0;0.249;2.0;20.0;2.334;6.0;74;10
150;RL;0.020961;4.526844024658203;18.667;1.509;3.333;1.155;0.133;0.577;18.0;1.367;3.0;20.0;1.629;4.0;75;10
151;OR-Tools;0.024964;4.5070784999999995;18.667;1.502;4.333;1.528;0.11;0.577;17.0;1.43;4.0;20.0;1.629;5.0;75;10
152;RL;0.018001;3.4467028379440308;16.0;1.149;3.333;2.0;0.424;1.155;14.0;0.663;2.0;18.0;1.443;4.0;76;10
153;OR-Tools;0.016014;3.5916053999999997;16.0;1.197;4.333;3.0;0.158;1.528;13.0;1.028;3.0;19.0;1.341;6.0;76;10
154;RL;0.022039;4.768333747982979;14.2;0.954;2.0;4.324;0.544;0.707;7.0;0.239;1.0;18.0;1.664;3.0;77;10
155;OR-Tools;0.016;4.7359234;17.75;1.184;3.5;2.63;0.597;0.577;14.0;0.422;3.0;20.0;1.823;4.0;77;10
156;RL;0.016998;5.496889114379883;16.667;1.832;3.333;2.517;0.937;1.528;14.0;0.997;2.0;19.0;2.845;5.0;78;10
157;OR-Tools;0.012999;5.936463;16.667;1.979;4.333;2.887;0.57;1.528;15.0;1.321;3.0;20.0;2.325;6.0;78;10
158;RL;0.020999;3.5804508924484253;17.667;1.193;3.333;0.577;0.158;0.577;17.0;1.046;3.0;18.0;1.359;4.0;79;10
159;OR-Tools;0.014992;3.7808871;17.667;1.26;4.333;1.155;0.179;0.577;17.0;1.139;4.0;19.0;1.466;5.0;79;10
160;RL;0.016998;4.1957016587257385;16.333;1.399;3.333;3.215;0.766;1.528;14.0;0.517;2.0;20.0;1.905;5.0;80;10
161;OR-Tools;0.019788;4.0667007;16.333;1.356;4.333;3.215;0.912;1.528;14.0;0.517;3.0;20.0;2.326;6.0;80;10
162;RL;0.017967;5.973284125328064;15.0;1.991;3.333;7.81;0.889;1.528;6.0;1.12;2.0;20.0;2.897;5.0;81;10
163;OR-Tools;0.018033;5.7986372;15.0;1.933;4.333;8.66;0.377;1.528;5.0;1.523;3.0;20.0;2.266;6.0;81;10
164;RL;0.022998;4.038097143173218;14.333;1.346;3.333;5.033;0.698;2.082;9.0;0.705;1.0;19.0;2.09;5.0;82;10
165;OR-Tools;0.024002;4.0380967000000005;14.333;1.346;4.333;5.033;0.698;2.082;9.0;0.705;2.0;19.0;2.09;6.0;82;10
166;RL;0.019997;4.270660400390625;14.333;1.424;3.333;3.055;0.891;1.528;11.0;0.681;2.0;17.0;2.412;5.0;83;10
167;OR-Tools;0.021994;4.2312843;14.333;1.41;4.333;6.028;1.106;2.517;8.0;0.439;2.0;20.0;2.614;7.0;83;10
168;RL;0.034999;3.3303099274635315;15.25;0.833;2.5;6.292;0.729;1.291;6.0;0.108;1.0;20.0;1.783;4.0;84;10
169;OR-Tools;0.018003;3.2871903;15.25;0.822;3.5;6.292;0.711;1.291;6.0;0.108;2.0;20.0;1.74;5.0;84;10
170;RL;0.024963;5.47591507434845;17.333;1.825;3.333;1.155;0.595;0.577;16.0;1.279;3.0;18.0;2.459;4.0;85;10
171;OR-Tools;0.017465;5.268033;17.333;1.756;4.333;2.082;0.896;0.577;15.0;1.145;4.0;19.0;2.785;5.0;85;10
172;RL;0.02305;3.9364460110664368;18.0;1.312;3.333;2.0;0.377;1.155;16.0;0.878;2.0;20.0;1.557;4.0;86;10
173;OR-Tools;0.019002;4.1559042999999996;18.0;1.385;4.333;2.0;0.366;0.577;16.0;0.965;4.0;20.0;1.634;5.0;86;10
174;RL;0.018022;3.925160765647888;18.667;1.308;3.333;1.155;0.699;1.155;18.0;0.789;2.0;20.0;2.103;4.0;87;10
175;OR-Tools;0.016992;3.9251601000000003;18.667;1.308;4.333;1.155;0.699;1.155;18.0;0.789;3.0;20.0;2.103;5.0;87;10
176;RL;0.019;5.500123590230942;15.0;1.375;2.5;5.033;0.792;1.291;8.0;0.277;1.0;20.0;2.153;4.0;88;10
177;OR-Tools;0.016998;5.494592699999999;15.0;1.374;3.5;5.598;0.697;1.291;7.0;0.505;2.0;20.0;2.153;5.0;88;10
178;RL;0.020042;3.4656432569026947;13.667;1.155;3.333;8.505;0.785;2.082;4.0;0.268;1.0;20.0;1.758;5.0;89;10
179;OR-Tools;0.021005;3.4656423999999997;13.667;1.155;4.333;8.505;0.785;2.082;4.0;0.268;2.0;20.0;1.758;6.0;89;10
180;RL;0.025006;5.543148308992386;15.25;1.386;2.5;1.5;0.763;1.0;14.0;0.389;2.0;17.0;2.093;4.0;90;10
181;OR-Tools;0.019996;5.276906500000001;15.25;1.319;3.5;5.679;1.057;1.291;7.0;0.12;2.0;19.0;2.695;5.0;90;10
182;RL;0.019999;5.5634108781814575;16.333;1.854;3.333;5.508;0.513;1.155;10.0;1.322;2.0;20.0;2.346;4.0;91;10
183;OR-Tools;0.021997;5.8575603;16.333;1.953;4.333;5.508;0.359;1.528;10.0;1.573;3.0;20.0;2.287;6.0;91;10
184;RL;0.022999;6.784305810928345;19.333;2.261;3.333;1.155;0.421;0.577;18.0;1.893;3.0;20.0;2.721;4.0;92;10
185;OR-Tools;0.021;6.5359904;19.333;2.179;4.333;1.155;0.335;0.577;18.0;1.87;4.0;20.0;2.535;5.0;92;10
186;RL;0.021966;5.242301344871521;19.333;1.747;3.333;0.577;0.197;0.577;19.0;1.521;3.0;20.0;1.872;4.0;93;10
187;OR-Tools;0.011997;5.2423006;19.333;1.747;4.333;0.577;0.197;0.577;19.0;1.521;4.0;20.0;1.872;5.0;93;10
188;RL;0.023985;3.26861035823822;17.667;1.09;3.333;0.577;0.414;0.577;17.0;0.808;3.0;18.0;1.565;4.0;94;10
189;OR-Tools;0.017999;3.2686098;17.667;1.09;4.333;0.577;0.414;0.577;17.0;0.808;4.0;18.0;1.565;5.0;94;10
190;RL;0.017998;5.249043822288513;16.667;1.75;3.333;3.055;0.711;1.155;14.0;1.192;2.0;20.0;2.551;4.0;95;10
191;OR-Tools;0.024998;5.1800666;16.667;1.727;4.333;1.155;0.497;0.577;16.0;1.192;4.0;18.0;2.175;5.0;95;10
192;RL;0.022995;5.165664434432983;17.667;1.722;3.333;2.082;0.922;1.528;16.0;0.742;2.0;20.0;2.571;5.0;96;10
193;OR-Tools;0.017;5.241596100000001;17.667;1.747;4.333;2.517;0.668;1.528;15.0;1.161;3.0;20.0;2.475;6.0;96;10
194;RL;0.021034;4.373414039611816;15.0;1.458;3.333;3.464;0.206;0.577;11.0;1.221;3.0;17.0;1.586;4.0;97;10
195;OR-Tools;0.013999;4.3553975000000005;15.0;1.452;4.333;3.464;0.2;0.577;11.0;1.221;4.0;17.0;1.568;5.0;97;10
196;RL;0.023999;4.632109224796295;16.0;1.544;3.333;1.0;0.674;1.528;15.0;0.766;2.0;17.0;1.937;5.0;98;10
197;OR-Tools;0.015002;4.6321085;16.0;1.544;4.333;1.0;0.674;1.528;15.0;0.766;3.0;17.0;1.937;6.0;98;10
198;RL;0.022001;5.0158950090408325;14.5;1.254;2.5;4.041;0.765;1.291;9.0;0.647;1.0;18.0;2.282;4.0;99;10
199;OR-Tools;0.020001;4.8299036;19.333;1.61;4.333;0.577;0.5;0.577;19.0;1.034;4.0;20.0;1.939;5.0;99;10
